2026-07-19 06:08:01 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 7, 'block_threshold': 4}
2026-07-19 06:17:12 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.045216, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-19 06:17:47 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:18:02 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:18:18 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'USUSDT'}
2026-07-19 06:18:18 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 25, 'broken': 0, 'correction': '133%'}
2026-07-19 06:20:58 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-19 06:21:53 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.043339, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.58}
2026-07-19 06:21:53 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 25, 'broken': 0, 'correction': '84%'}
2026-07-19 06:22:20 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:22:35 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:22:51 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:23:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:23:23 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BUSDT', 'level': 0.18185, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.67}
2026-07-19 06:23:23 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'BUSDT', 'level': 0.18185, 'close_below': 5}
2026-07-19 06:23:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:23:51 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:24:07 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 06:31:01 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-19 06:40:58 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'ESPORTSUSDT'}
2026-07-19 06:40:59 | INFO | __main__:_run_phase1:575 | Replaced old monitor with closer level | {'symbol': 'ESPORTSUSDT', 'old': 0.043952, 'new': 0.04659}
2026-07-19 06:40:59 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.043952}
2026-07-19 06:40:59 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'ESPORTSUSDT', 'level': 0.04659, 'close_below': 19}
2026-07-19 06:41:04 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-19 06:41:53 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.04659, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.64}
2026-07-19 06:41:54 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'ESPORTSUSDT', 'level': 0.045979, 'close_below': 2}
2026-07-19 06:42:23 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'SYNUSDT', 'level': 0.214, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.72}
2026-07-19 06:42:23 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'SYNUSDT', 'health': 40, 'broken': 0, 'correction': '107%'}
2026-07-19 06:42:34 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'AKEUSDT', 'level': 0.0017309, 'current': 0.0019239, 'distance_pct': 10.0}
2026-07-19 06:42:34 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.0017309}
2026-07-19 06:42:34 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.0019066, 'close_below': 26}
2026-07-19 06:42:53 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0019066, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.55}
2026-07-19 06:46:22 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-19 06:46:22 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'AKEUSDT', 'level': 0.00190685, 'close_below': 22}
2026-07-19 06:51:07 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-19 06:51:53 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.045125, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.05}
2026-07-19 06:51:53 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 40, 'broken': 0, 'correction': '83%'}
2026-07-19 07:01:11 | INFO | config:add:68 | Token added | {'symbol': 'HOMEUSDT'}
2026-07-19 07:01:11 | INFO | __main__:_auto_screener_loop:192 | Auto-added new symbol from screener | {'symbol': 'HOMEUSDT'}
2026-07-19 07:01:12 | INFO | analysis.claude_strength:calculate_strength_with_claude:174 | Claude input levels | {'symbol': 'HOMEUSDT', 'levels': [{'price': 0.00706143, 'candle_count': 28, 'hourly_open_bonus': 0, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 1566266.0, 'type': 'body_level'}, {'price': 0.00714, 'candle_count': 25, 'hourly_open_bonus': 3, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 2406031062.0, 'type': 'pump_base'}, {'price': 0.0073475, 'candle_count': 34, 'hourly_open_bonus': 0, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 5791798.0, 'type': 'body_level'}, {'price': 0.00739359, 'candle_count': 31, 'hourly_open_bonus': 0, 'round_number_bonus': 2, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 6311139.0, 'type': 'body_level'}, {'price': 0.00756224, 'candle_count': 43, 'hourly_open_bonus': 0, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 7049618.0, 'type': 'body_level'}, {'price': 0.0076274, 'candle_count': 41, 'hourly_open_bonus': 0, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 8580218.0, 'type': 'body_level'}, {'price': 0.00772909, 'candle_count': 23, 'hourly_open_bonus': 0, 'round_number_bonus': 1, 'poc_aligned': False, 'position': 'impulse', 'volume_at_level': 10045581.0, 'type': 'body_level'}]}
2026-07-19 07:01:12 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'HOMEUSDT'}
2026-07-19 07:01:13 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'HOMEUSDT', 'level': 0.00772909, 'strength': 4}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.00706143, 'strength': 1, 'p_bounce_claude': 65, 'reason': 'Body-level, низкий объём, мало тестов'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.00714, 'strength': 2, 'p_bounce_claude': 78, 'reason': 'Пампбаза, объём 29.5x но слаб по монете'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.0073475, 'strength': 3, 'p_bounce_claude': 84, 'reason': 'Body-level, 34 свечи, импульс'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.00739359, 'strength': 3, 'p_bounce_claude': 87, 'reason': 'Body-level, близко к круглому числу'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.00756224, 'strength': 4, 'p_bounce_claude': 91, 'reason': 'Body-level, 43 свечи, максимум обжитости'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.0076274, 'strength': 3, 'p_bounce_claude': 89, 'reason': 'Body-level, 41 свеча, хорошо протестирован'}
2026-07-19 07:01:15 | INFO | analysis.claude_strength:calculate_strength_with_claude:298 | Claude strength assigned | {'symbol': 'HOMEUSDT', 'level': 0.00772909, 'strength': 3, 'p_bounce_claude': 88, 'reason': 'Body-level, 23 свечи, импульс после пампа'}
2026-07-19 07:01:16 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 1}
2026-07-19 07:02:24 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BUSDT', 'level': 0.1829, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.82}
2026-07-19 07:02:24 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'BUSDT', 'level': 0.1829, 'close_below': 14}
2026-07-19 07:04:15 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'TLMUSDT'}
2026-07-19 07:04:15 | INFO | __main__:_run_phase1:575 | Replaced old monitor with closer level | {'symbol': 'TLMUSDT', 'old': 0.001661, 'new': 0.001666}
2026-07-19 07:04:15 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'TLMUSDT', 'level': 0.001661}
2026-07-19 07:04:15 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'TLMUSDT', 'level': 0.001666, 'strength': 5}
2026-07-19 07:04:15 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:04:15 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6}
2026-07-19 07:04:20 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'TLMUSDT', 'level': 0.001666, 'distance_pct': 1.1862396204033245}
2026-07-19 07:04:20 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:04:35 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:04:50 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:05:05 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:05:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:05:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:05:51 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:06:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:06:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:06:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:06:52 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:07:07 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:07:22 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:07:37 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:07:52 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:08:08 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:08:23 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:08:38 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001666, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 07:10:14 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:14 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'HOMEUSDT', 'level': 0.00772909, 'distance_pct': 1.9151015228426365}
2026-07-19 07:10:14 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:19 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:24 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:29 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:29 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:34 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:40 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:45 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:45 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:50 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:10:55 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:11:00 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:11:00 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:11:05 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:11:10 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:11:19 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-19 07:11:25 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'TRADOORUSDT'}
2026-07-19 07:11:25 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'TRADOORUSDT', 'health': 40, 'broken': 0, 'correction': '73%'}
2026-07-19 07:13:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:13:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:13:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:13:54 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.81}
2026-07-19 07:13:54 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'strength': 5}
2026-07-19 07:13:54 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'approach_count': 22, 'block_threshold': 4}
2026-07-19 07:13:54 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'approach_count': 22}
2026-07-19 07:13:57 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:13:57 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'distance_pct': 1.0224623860987432}
2026-07-19 07:13:57 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'approach_count': 22, 'block_threshold': 4}
2026-07-19 07:14:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:14:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:14:07 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:14:12 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'HOMEUSDT', 'phase': 'drop_tradeable', 'note': 'drop_tradeable:bq=0.76'}
2026-07-19 07:14:12 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'AKEUSDT', 'level': 0.0018683, 'approach_count': 22, 'block_threshold': 4}
